,0,1,i,j,dist
269,0.9999701976776124,2.9853294108761474e-05,28,6,1012.1481285828647
270,0.9859333634376526,0.0140666225925087,29,6,1078.752956091038
271,0.9716944694519044,0.028305547311902,30,6,1145.3577835992112
272,0.9946603178977966,0.0053397421725094,31,6,1205.5409222119608
273,0.957227885723114,0.0427721068263053,32,6,1249.5445654330167
274,0.8921687602996826,0.1078311875462532,33,6,1293.5482086540724
275,0.9682564735412598,0.031743548810482,34,6,1337.551851875128
276,0.0001578893716214,0.9998420476913452,35,6,1381.5554950961837
277,0.2322440445423126,0.767755925655365,36,6,1425.5591383172393
278,0.995591402053833,0.0044086016714572,37,6,1469.562781538295
279,0.9999932050704956,6.799900347687071e-06,38,6,1513.5664247593509
280,0.999455749988556,0.0005442166002467,39,6,1557.5700679804065
281,0.997326135635376,0.0026738501619547,40,6,1593.2777486899483
282,0.9999254941940308,7.451891724485904e-05,41,6,1558.3773097098374
283,0.994470477104187,0.005529495421797,42,6,1523.4768707297262
284,0.9999127388000488,8.731096750125289e-05,43,6,1488.576431749615
285,0.9999773502349854,2.2678928871755488e-05,44,6,1453.6759927695039
286,0.9968698620796204,0.0031301020644605,45,6,1418.7755537893927
287,0.9960299134254456,0.0039700423367321,46,6,1383.8751148092815
288,0.9647751450538636,0.0352248400449752,47,6,1348.9746758291706
289,0.9999912977218628,8.689163223607466e-06,48,6,1288.1072089497238
290,0.9999943971633912,5.64039828532259e-06,49,6,1178.5520161451536
291,0.9898186326026917,0.010181332938373,50,6,1068.9968233405832
292,0.9998273253440856,0.0001726571354083,51,6,959.4416305360129
293,0.999642848968506,0.0003571864508558,52,6,849.8864377314426
294,0.9929492473602296,0.0070508006028831,53,6,740.3312449268723
295,0.9999979734420776,1.9798237644863548e-06,54,6,630.7760521223018
296,0.999931573867798,6.846764881629497e-05,55,6,521.2208593177315
297,1.0,3.942749460250639e-10,56,6,411.6656665131613
298,1.0,2.4710761215018806e-11,57,6,302.1104737085909
299,1.0,4.591589695263076e-13,58,6,192.5552809040206
300,1.0,8.276929835959733e-11,59,6,83.0000880994503
301,1.0,3.413450511829952e-12,60,6,-26.555104705120034
302,1.0,3.3509819918897676e-11,61,6,-167.19081137033817
303,1.0,1.361640467045788e-09,7,7,-2755.966980934278
304,0.9999998807907104,9.408692847046041e-08,8,7,-2500.065999128823
305,1.0,6.1767184249272855e-12,9,7,-2244.187603566155
306,1.0,6.50756254438889e-11,10,7,-1988.3405140971201
307,0.9999997615814208,2.641895378019399e-07,11,7,-1732.5385998586005
308,1.0,5.927056762056182e-11,12,7,-1476.8053358516822
309,1.0,3.4002758941831246e-10,13,7,-1221.1838518421378
310,1.0,3.0588752017446375e-12,14,7,-965.7629108637378
311,1.0,1.2230625401343787e-09,15,7,-710.7587495064694
312,1.0,3.5109874119143576e-08,16,7,-456.8697845119548
313,1.0,1.3581881175284136e-09,17,7,-208.21623375712088
314,0.9999995231628418,4.714517274351238e-07,18,7,19.058710021913512
315,0.8362262845039368,0.1637737601995468,19,7,244.2632416586954
316,0.9697226285934448,0.0302774161100387,20,7,393.64841781993294
317,0.9999619722366332,3.799446858465672e-05,21,7,543.0335939811705
318,0.8199660181999207,0.1800339967012405,22,7,692.418770142408
319,0.999830722808838,0.0001692557561909,23,7,841.8039463036456
320,0.9999986886978148,1.368861830997048e-06,24,7,991.1891224648831
321,0.9999736547470092,2.6393765438115224e-05,25,7,1059.517377223255
322,1.0,5.2414833362490754e-08,26,7,1126.1222047314284
323,1.0,1.6816686709830723e-08,27,7,1192.7270322396016
324,0.9998492002487184,0.0001507331762695,28,7,1259.3318597477746
325,0.9999712705612184,2.8724012736347504e-05,29,7,1325.9366872559478
326,0.922581136226654,0.0774188339710235,30,7,1392.541514764121
327,0.998519241809845,0.0014807541156187,31,7,1457.7306908055223
328,0.9962738752365112,0.0037261103279888,32,7,1501.734334026578
329,0.9999839067459106,1.6047004464780912e-05,33,7,1545.7379772476338
330,0.999948024749756,5.200966916163452e-05,34,7,1589.7416204686895
331,0.9999946355819702,5.354532731871586e-06,35,7,1633.7452636897451
332,0.9997599720954896,0.0002399935037828,36,7,1677.7489069108008
333,0.9999736547470092,2.6285622880095616e-05,37,7,1721.7525501318564
334,0.9999964237213136,3.5656253203342203e-06,38,7,1765.7561933529123
335,0.9999614953994752,3.855525574181229e-05,39,7,1809.759836573968
336,0.9999784231185912,2.1614338038489223e-05,40,7,1846.8876052787562
337,0.3316549062728882,0.6683450937271118,41,7,1811.9871662986448
338,0.9938626289367676,0.0061373854987323,42,7,1777.0867273185338
339,0.9935111403465272,0.0064888563938438,43,7,1742.1862883384226
340,0.967982292175293,0.0320176742970943,44,7,1707.2858493583115
341,0.9984455704689026,0.0015544855268672,45,7,1672.3854103782003
342,0.0215773880481719,0.9784225821495056,46,7,1637.4849713980893
343,0.9872627854347228,0.0127372602000832,47,7,1602.5845324179782
344,0.977224349975586,0.0227757189422845,48,7,1519.4806294836162
345,1.0,5.1262105671412435e-08,49,7,1409.925436679046
